authority_id,community_zip
1,24937
1,24939
1,24941
1,24943
1,24944
2,24103
2,24105
2,24106
2,24107
2,24109
2,24111
2,24113
2,24114
2,24116
2,24118
2,24143
2,24145
2,24146
2,24147
2,24148
2,24149
2,24159
3,23552
3,23554
3,23556
3,23558
3,23560
3,23562
3,23564
3,23566
3,23568
3,23569
3,23570
3,23628
4,24534
4,24536
4,24537
4,24539
4,24548
5,25541
5,25693
5,25704
5,25709
5,25712
5,25715
5,25718
5,25719
5,25721
5,25724
5,25725
5,25727
5,25729
5,25746
5,25761
5,25764
5,25767
5,25770
5,25774
5,25776
5,25779
5,25782
5,25785
5,25786
5,25788
5,25791
5,25792
5,25794
5,25795
5,25797
5,25799
7,23611
7,23617
7,23623
7,23626
7,23629
7,23669
7,23683
7,23684
7,23689
7,23701
7,23714
7,23715
7,23717
7,23730
7,23738
7,23743
7,23744
7,23746
7,23747
7,23749
7,23758
7,23769
7,23774
7,23775
7,23777
7,23779
7,23794
8,22869
8,22880
8,25335
8,25336
8,25337
8,25355
8,25364
8,25365
8,25370
8,25371
8,25373
8,25421
8,25436
8,25451
8,25462
8,25469
8,25474
8,25482
8,25485
8,25488
8,25489
8,25491
8,25492
8,25494
8,25495
8,25497
8,25499
8,27498
10,24376
10,24392
10,24395
10,24399
10,24401
10,24402
10,24404
10,24405
10,24407
10,24409
10,24799
10,24803
10,24817
10,24837
10,24847
10,24848
10,24849
10,24850
10,24852
10,24855
10,24857
10,24860
10,24861
10,24863
10,24864
10,24866
10,24867
10,24869
10,24870
10,24872
10,24873
10,24876
10,24877
10,24878
10,24879
10,24881
10,24882
10,24884
10,24885
10,24887
10,24888
10,24890
10,24891
10,24893
10,24894
10,24896
10,24897
10,24899
10,24955
10,24960
10,24963
10,24966
10,24969
10,24972
10,24975
10,24976
10,24977
10,24980
10,24983
10,24986
10,24988
10,24989
10,24991
10,24992
10,24994
10,24996
10,24997
10,24999
10,25203
10,25879
12,21465
12,21509
12,22113
12,22145
12,22885
12,22889
12,22926
12,22927
12,22929
12,22941
12,22946
12,22949
12,22952
12,22955
12,22956
12,22961
12,22962
12,22964
12,22965
12,22967
12,22969
12,23218
12,23230
12,23309
12,23400
12,23412
12,23538
12,23619
12,23843
12,23845
12,23847
12,23848
12,23858
12,23860
12,23863
12,23869
13,20257
13,20357
13,20359
13,20403
13,22525
13,22547
13,22549
13,22559
13,22587
13,22589
13,22599
13,22605
13,22607
13,22609
13,22708
13,22758
13,22761
13,22763
13,22765
13,22767
13,22769
14,21029
14,21031
14,21033
14,21035
14,21037
14,21039
14,21072
14,22113
15,38179
15,38465
15,38467
15,38468
15,38470
15,38471
15,38472
15,38473
15,38474
15,38476
15,38477
15,38479
15,38481
15,38518
15,38524
15,38527
15,38528
15,38530
15,38531
15,38533
15,38536
15,38539
15,38542
15,38543
15,38547
15,38550
15,38551
15,38553
15,38554
15,38556
15,38557
15,38559
15,38616
16,37444
16,38640
16,38642
16,38644
16,38667
16,38678
16,38685
16,38690
16,38700
16,38704
16,38707
16,38709
16,38723
16,38729
16,38805
17,38154
17,38165
17,38350
17,38364
17,38365
17,38368
17,38372
17,38373
17,38375
17,38376
17,38378
17,38379
17,38381
17,38382
17,38384
17,38387
17,38410
17,38421
17,38422
17,38425
17,38426
17,38458
17,38459
17,38461
17,38462
17,38464
18,37154
18,37162
18,37170
18,37176
18,37181
18,37186
18,37191
18,37194
18,37574
18,37581
18,37586
18,37589
19,31224
19,31226
19,31228
19,31234
19,31237
19,31241
19,31242
19,31246
19,31249
19,31272
19,38159
19,38176
19,38268
20,38162
20,38170
20,38173
20,38271
20,38272
20,38274
20,38275
20,38277
20,38279
20,38300
20,38301
20,38302
20,38304
20,38312
20,38315
20,38319
20,38321
20,38322
20,38324
20,38325
20,38327
20,38329
21,31848
21,31855
21,31856
21,31860
21,31863
22,31008
22,31028
22,31029
22,31033
22,31035
22,31036
22,31061
22,31079
22,31084
22,31089
22,31101
22,31132
22,31134
22,31135
22,31137
22,31139
22,31141
22,31157
22,31162
22,31167
22,31168
22,31169
22,31171
22,31172
22,31174
22,31177
22,31179
22,31180
22,31185
22,31188
22,31191
22,31192
22,31195
22,31196
22,31199
22,31201
22,31213
22,31216
22,31223
23,31073
23,31868
23,32030
23,32040
23,37603
23,37619
23,37620
23,37627
23,37632
23,37633
23,37635
23,37639
23,37640
23,37642
23,37643
23,37647
23,37649
23,37691
23,37697
23,37699
23,37969
23,38015
24,27318
24,27324
24,27333
24,31547
24,31550
24,31582
24,31592
24,31595
24,31600
24,31603
24,31604
24,31606
24,31608
24,31609
24,31613
24,31618
24,31619
24,31621
24,31622
24,31623
24,31626
24,31627
24,31628
24,31629
24,31632
24,31633
24,31634
24,31636
24,31637
24,31638
25,31542
25,31552
25,31553
25,31555
25,31556
25,31558
25,31559
25,31655
25,31657
25,31667
25,31675
25,31683
25,31685
25,31688
25,31691
25,31693
25,31698
25,31699
25,31700
25,31702
25,31707
25,31708
25,31710
25,31711
25,31712
25,31714
25,31715
25,31717
25,31718
25,31719
25,31737
25,31749
25,31867
27,27711
27,27717
27,27721
27,27726
27,27729
27,28790
27,28799
27,28865
27,28879
27,29000
28,27356
28,27367
28,27374
28,27383
28,27386
28,27389
28,27404
28,27412
28,27419
28,27432
28,27442
28,27446
29,27336
29,29614
29,29633
29,29640
29,29643
29,29646
29,29649
29,29663
29,29664
29,29683
29,29690
29,29693
29,29699
29,29953
29,30000
29,30126
29,30129
29,30148
29,30149
29,30156
30,21614
30,21623
30,21635
30,21640
30,21641
30,21643
30,21644
30,21680
30,21682
30,21683
30,21684
30,21698
30,21699
30,21702
30,21706
30,21709
30,21710
30,21712
30,21714
30,21717
30,21720
30,21723
30,21726
30,21727
30,21729
30,21730
30,21732
30,21734
30,21737
30,21739
30,27449
31,29389
31,29394
31,29439
31,29445
31,29451
31,29456
31,29459
31,29460
31,29462
31,29465
31,29468
31,29471
31,29472
31,29473
31,29475
31,29476
31,29478
31,29479
32,49734
32,49735
32,49740
32,49744
32,49747
32,49751
32,49757
32,49762
32,49763
32,49764
32,49765
32,49767
32,49768
32,49770
32,49774
32,49777
32,49779
32,49786
32,49789
32,49808
32,49809
32,49810
32,49811
32,49832
32,49838
32,49844
33,26316
33,26340
33,26345
33,26419
33,26420
33,26434
33,26441
33,26452
33,26486
34,48455
34,48465
34,48527
34,48529
34,48531
34,49824
34,49828
34,49829
34,49835
34,49843
34,49846
34,49847
34,49849
34,50102
34,50115
34,50120
35,26670
35,26757
35,26789
35,26802
35,26810
35,26817
35,26826
35,26831
35,26835
35,26842
35,26844
35,26845
35,26847
35,26849
35,26870
36,26197
36,26203
36,26209
36,27243
36,27777
36,27793
36,27798
36,27801
37,49074
37,49076
37,49078
37,49080
37,49082
37,49084
37,49086
37,49088
37,49090
37,49124
37,49134
37,49143
37,49152
37,49163
37,49170
37,49176
37,49179
37,49186
37,49191
37,49196
37,49197
37,49201
37,49202
37,49205
37,49214
37,49219
37,49279
37,49304
37,49324
37,49326
37,49328
37,49565
37,49577
37,49584
37,49585
37,49586
37,49593
37,49594
37,49596
37,49597
37,49599
37,49610
37,49626
37,49635
37,49637
37,49638
39,34117
39,34119
39,34121
39,34123
39,34125
39,34127
39,34128
39,34130
39,34131
39,34132
39,34134
39,34225
39,34233
39,34246
39,34253
39,34260
39,34266
39,34270
39,34277
39,34289
39,34292
39,34298
39,34308
39,34311
39,34314
39,34317
39,34320
39,34329
39,34359
39,34369
39,34376
39,34379
39,34385
39,34388
39,34393
39,34396
39,34399
39,34401
39,34403
39,34466
39,34479
39,34482
39,34487
39,37194
40,36037
40,36039
40,36041
40,36042
40,36043
40,36088
40,36093
40,36100
40,36103
40,36115
40,36119
40,36124
