authority_id,community
1,Altstadt
1,Engelsby
1,Flensburg
1,Friesischer Berg
1,Fruerlund
1,Jürgensby
1,Mürwik
1,Neustadt
1,Nordstadt
1,Sandberg
1,Südstadt
1,Tarup
1,Weiche
1,Westliche Höhe
2,Altstadt
2,Blücherplatz
2,Brunswik
2,Damperhof
2,Düsternbrook
2,Ellerbek
2,Elmschenhagen
2,Exerzierplatz
2,Friedrichsort
2,Gaarden-Ost
2,Gaarden-Süd und Kronsburg
2,Hassee
2,Hasseldieksdamm
2,Holtenau
2,Kiel
2,Meimersdorf
2,Mettenhof
2,Moorsee
2,Neumühlen-Dietrichsdorf
2,Pries
2,Ravensberg
2,Rönne
2,Russee
2,Schilksee
2,Schreventeich
2,Suchsdorf
2,Südfriedhof
2,Vorstadt
2,Wellingdorf
2,Wellsee
2,Wik
3,Buntekuh
3,Innenstadt
3,Kücknitz
3,Lübeck
3,Moisling
3,Schlutup
3,St. Gertrud
3,St. Jürgen
3,St. Lorenz Nord
3,St. Lorenz Süd
3,Travemünde
4,Böcklersiedlung
4,Brachenfeld
4,Einfeld
4,Faldera
4,Gadeland
4,Gartenstadt
4,Innenstadt
4,Neumünster
4,Ruthenberg
4,Stör
4,Tungendorf
4,Wittorf
5,Albersdorf
5,Arkebek
5,Averlak
5,Bargenstedt
5,Barkenholm
5,Barlt
5,Bergewöhrden
5,Brickeln
5,Brunsbüttel
5,Buchholz
5,Bunsoh
5,Burg (Dithmarschen)
5,Busenwurth
5,Büsum
5,Büsumer Deichhausen
5,Dellstedt
5,Delve
5,Diekhusen-Fahrstedt
5,Dingen
5,Dörpling
5,Eddelak
5,Eggstedt
5,Elpersbüttel
5,Epenwöhrden
5,Fedderingen
5,Frestedt
5,Friedrichsgabekoog
5,Friedrichskoog
5,Gaushorn
5,Glüsing
5,Großenrade
5,Groven
5,Gudendorf
5,Hedwigenkoog
5,Heide
5,Hellschen-Heringsand-Unterschaar
5,Helse
5,Hemme
5,Hemmingstedt
5,Hennstedt
5,Hillgroven
5,Hochdonn
5,Hollingstedt
5,Hövede
5,Immenstedt
5,Kaiser-Wilhelm-Koog
5,Karolinenkoog
5,Kleve
5,Krempel
5,Kronprinzenkoog
5,Krumstedt
5,Kuden
5,Lehe
5,Lieth
5,Linden
5,Lohe-Rickelshof
5,Lunden
5,Marne
5,Marnerdeich
5,Meldorf
5,Neuenkirchen
5,Neufeld
5,Neufelderkoog
5,Nindorf
5,Norddeich
5,Norderheistedt
5,Nordermeldorf
5,Norderwöhrden
5,Nordhastedt
5,Odderade
5,Oesterdeichstrich
5,Oesterwurth
5,Offenbüttel
5,Osterrade
5,Ostrohe
5,Pahlen
5,Quickborn
5,Ramhusen
5,Rehm-Flehde-Bargen
5,Reinsbüttel
5,Sankt Annen
5,Sankt Michaelisdonn
5,Sarzbüttel
5,Schafstedt
5,Schalkholz
5,Schlichting
5,Schmedeswurth
5,Schrum
5,Schülp
5,Stelle-Wittenwurth
5,Strübbel
5,Süderdeich
5,Süderdorf
5,Süderhastedt
5,Süderheistedt
5,Tellingstedt
5,Tensbüttel-Röst
5,Tielenhemme
5,Trennewurth
5,Volsemenhusen
5,Wallen
5,Warwerort
5,Weddingstedt
6,Dunsum
6,Elisabeth-Sophien-Koog
6,Ellhöft
6,Emmelsbüll-Horsbüll
6,Enge-Sande
6,Fresendelf
6,Friedrich-Wilhelm-Lübke-Koog
6,Friedrichstadt
6,Galmsbüll
6,Garding
6,Goldebek
6,Goldelund
6,Gröde
6,Grothusenkoog
6,Hallig Hooge
6,Haselund
6,Hattstedt
6,Hattstedtermarsch
6,Högel
6,Holm
6,Hörnum (Sylt)
6,Horstedt
6,Hude
6,Humptrup
6,Husum
6,Immenstedt
6,Joldelund
6,Kampen (Sylt)
6,Karlum
6,Katharinenheerd
6,Kirchspiel Garding
6,Klanxbüll
6,Klixbüll
6,Koldenbüttel
6,Kolkerheide
6,Kotzenbüll
6,Ladelund
6,Langeneß
6,Langenhorn
6,Leck
6,Lexgaard
6,List auf Sylt
6,Löwenstedt
6,Lütjenholm
6,Midlum
6,Mildstedt
6,Nebel
6,Neukirchen
6,Nieblum
6,Niebüll
6,Norddorf auf Amrum
