authority_id,key,address_components_long_name,address_components_short_name,address_components_types_1,address_components_types_2,address_components_types_3,formatted_address,location_type,viewport_northeast_lat,viewport_northeast_lng,lat,lng,bounds_northeast_lat,bounds_northeast_lng,bounds_southwest_lat,bounds_southwest_lng,place_id,compound_code,global_code,type_1,type_2,type_3,type_4,partial_match
1,results,58,58,street_number,NA,NA,"Norderstraße 58, 24939 Flensburg, Germany",ROOFTOP,54.7938133802915,9.432376880291503,54.7911154197085,9.429678919708499,NA,NA,NA,NA,ChIJRzK1Qr9Cs0cRyatcTIaQzl8,"QCRJ+XC Flensburg, Germany",9F6FQCRJ+XC,street_address,NA,NA,NA,NA
1,results,Norderstraße,Norderstraße,route,NA,NA,"Norderstraße 58, 24939 Flensburg, Germany",ROOFTOP,54.7938133802915,9.432376880291503,54.7911154197085,9.429678919708499,NA,NA,NA,NA,ChIJRzK1Qr9Cs0cRyatcTIaQzl8,"QCRJ+XC Flensburg, Germany",9F6FQCRJ+XC,street_address,NA,NA,NA,NA
1,results,Altstadt,Altstadt,political,sublocality,sublocality_level_1,"Norderstraße 58, 24939 Flensburg, Germany",ROOFTOP,54.7938133802915,9.432376880291503,54.7911154197085,9.429678919708499,NA,NA,NA,NA,ChIJRzK1Qr9Cs0cRyatcTIaQzl8,"QCRJ+XC Flensburg, Germany",9F6FQCRJ+XC,street_address,NA,NA,NA,NA
1,results,Flensburg,FL,locality,political,NA,"Norderstraße 58, 24939 Flensburg, Germany",ROOFTOP,54.7938133802915,9.432376880291503,54.7911154197085,9.429678919708499,NA,NA,NA,NA,ChIJRzK1Qr9Cs0cRyatcTIaQzl8,"QCRJ+XC Flensburg, Germany",9F6FQCRJ+XC,street_address,NA,NA,NA,NA
1,results,Schleswig-Holstein,SH,administrative_area_level_1,political,NA,"Norderstraße 58, 24939 Flensburg, Germany",ROOFTOP,54.7938133802915,9.432376880291503,54.7911154197085,9.429678919708499,NA,NA,NA,NA,ChIJRzK1Qr9Cs0cRyatcTIaQzl8,"QCRJ+XC Flensburg, Germany",9F6FQCRJ+XC,street_address,NA,NA,NA,NA
1,results,Germany,DE,country,political,NA,"Norderstraße 58, 24939 Flensburg, Germany",ROOFTOP,54.7938133802915,9.432376880291503,54.7911154197085,9.429678919708499,NA,NA,NA,NA,ChIJRzK1Qr9Cs0cRyatcTIaQzl8,"QCRJ+XC Flensburg, Germany",9F6FQCRJ+XC,street_address,NA,NA,NA,NA
1,results,24939,24939,postal_code,NA,NA,"Norderstraße 58, 24939 Flensburg, Germany",ROOFTOP,54.7938133802915,9.432376880291503,54.7911154197085,9.429678919708499,NA,NA,NA,NA,ChIJRzK1Qr9Cs0cRyatcTIaQzl8,"QCRJ+XC Flensburg, Germany",9F6FQCRJ+XC,street_address,NA,NA,NA,NA
2,results,18,18,street_number,NA,NA,"Fleethörn 18, 24103 Kiel, Germany",ROOFTOP,54.3231516802915,10.1357263802915,54.3204537197085,10.1330284197085,NA,NA,NA,NA,ChIJkdEBWWdWskcRU7wS6PqobPk,"84CM+PQ Kiel, Germany",9F6G84CM+PQ,street_address,NA,NA,NA,NA
2,results,Fleethörn,Fleethörn,route,NA,NA,"Fleethörn 18, 24103 Kiel, Germany",ROOFTOP,54.3231516802915,10.1357263802915,54.3204537197085,10.1330284197085,NA,NA,NA,NA,ChIJkdEBWWdWskcRU7wS6PqobPk,"84CM+PQ Kiel, Germany",9F6G84CM+PQ,street_address,NA,NA,NA,NA
2,results,Mitte,Mitte,political,sublocality,sublocality_level_1,"Fleethörn 18, 24103 Kiel, Germany",ROOFTOP,54.3231516802915,10.1357263802915,54.3204537197085,10.1330284197085,NA,NA,NA,NA,ChIJkdEBWWdWskcRU7wS6PqobPk,"84CM+PQ Kiel, Germany",9F6G84CM+PQ,street_address,NA,NA,NA,NA
2,results,Kiel,KI,locality,political,NA,"Fleethörn 18, 24103 Kiel, Germany",ROOFTOP,54.3231516802915,10.1357263802915,54.3204537197085,10.1330284197085,NA,NA,NA,NA,ChIJkdEBWWdWskcRU7wS6PqobPk,"84CM+PQ Kiel, Germany",9F6G84CM+PQ,street_address,NA,NA,NA,NA
2,results,Schleswig-Holstein,SH,administrative_area_level_1,political,NA,"Fleethörn 18, 24103 Kiel, Germany",ROOFTOP,54.3231516802915,10.1357263802915,54.3204537197085,10.1330284197085,NA,NA,NA,NA,ChIJkdEBWWdWskcRU7wS6PqobPk,"84CM+PQ Kiel, Germany",9F6G84CM+PQ,street_address,NA,NA,NA,NA
2,results,Germany,DE,country,political,NA,"Fleethörn 18, 24103 Kiel, Germany",ROOFTOP,54.3231516802915,10.1357263802915,54.3204537197085,10.1330284197085,NA,NA,NA,NA,ChIJkdEBWWdWskcRU7wS6PqobPk,"84CM+PQ Kiel, Germany",9F6G84CM+PQ,street_address,NA,NA,NA,NA
2,results,24103,24103,postal_code,NA,NA,"Fleethörn 18, 24103 Kiel, Germany",ROOFTOP,54.3231516802915,10.1357263802915,54.3204537197085,10.1330284197085,NA,NA,NA,NA,ChIJkdEBWWdWskcRU7wS6PqobPk,"84CM+PQ Kiel, Germany",9F6G84CM+PQ,street_address,NA,NA,NA,NA
3,results,2-8,2-8,street_number,NA,NA,"Sophienstraße 2-8, 23560 Lübeck, Germany",ROOFTOP,53.8573689802915,10.6901288802915,53.8546710197085,10.6874309197085,NA,NA,NA,NA,ChIJ9XEchkMJskcRX7ytBgyRwHg,"VM4Q+CG Lübeck, Germany",9F5GVM4Q+CG,street_address,NA,NA,NA,NA
3,results,Sophienstraße,Sophienstraße,route,NA,NA,"Sophienstraße 2-8, 23560 Lübeck, Germany",ROOFTOP,53.8573689802915,10.6901288802915,53.8546710197085,10.6874309197085,NA,NA,NA,NA,ChIJ9XEchkMJskcRX7ytBgyRwHg,"VM4Q+CG Lübeck, Germany",9F5GVM4Q+CG,street_address,NA,NA,NA,NA
3,results,St. Jürgen,St. Jürgen,political,sublocality,sublocality_level_1,"Sophienstraße 2-8, 23560 Lübeck, Germany",ROOFTOP,53.8573689802915,10.6901288802915,53.8546710197085,10.6874309197085,NA,NA,NA,NA,ChIJ9XEchkMJskcRX7ytBgyRwHg,"VM4Q+CG Lübeck, Germany",9F5GVM4Q+CG,street_address,NA,NA,NA,NA
3,results,Lübeck,Lübeck,locality,political,NA,"Sophienstraße 2-8, 23560 Lübeck, Germany",ROOFTOP,53.8573689802915,10.6901288802915,53.8546710197085,10.6874309197085,NA,NA,NA,NA,ChIJ9XEchkMJskcRX7ytBgyRwHg,"VM4Q+CG Lübeck, Germany",9F5GVM4Q+CG,street_address,NA,NA,NA,NA
3,results,Schleswig-Holstein,SH,administrative_area_level_1,political,NA,"Sophienstraße 2-8, 23560 Lübeck, Germany",ROOFTOP,53.8573689802915,10.6901288802915,53.8546710197085,10.6874309197085,NA,NA,NA,NA,ChIJ9XEchkMJskcRX7ytBgyRwHg,"VM4Q+CG Lübeck, Germany",9F5GVM4Q+CG,street_address,NA,NA,NA,NA
3,results,Germany,DE,country,political,NA,"Sophienstraße 2-8, 23560 Lübeck, Germany",ROOFTOP,53.8573689802915,10.6901288802915,53.8546710197085,10.6874309197085,NA,NA,NA,NA,ChIJ9XEchkMJskcRX7ytBgyRwHg,"VM4Q+CG Lübeck, Germany",9F5GVM4Q+CG,street_address,NA,NA,NA,NA
3,results,23560,23560,postal_code,NA,NA,"Sophienstraße 2-8, 23560 Lübeck, Germany",ROOFTOP,53.8573689802915,10.6901288802915,53.8546710197085,10.6874309197085,NA,NA,NA,NA,ChIJ9XEchkMJskcRX7ytBgyRwHg,"VM4Q+CG Lübeck, Germany",9F5GVM4Q+CG,street_address,NA,NA,NA,NA
4,results,8,8,street_number,NA,NA,"Meßtorffweg 8, 24534 Neumünster, Germany",ROOFTOP,54.0775913302915,9.992005130291503,54.0748933697085,9.989307169708498,54.07648,9.9910062,54.0760047,9.9903061,ChIJk-PRycVLskcReRqaLAlvaWQ,NA,NA,premise,NA,NA,NA,NA
4,results,Meßtorffweg,Meßtorffweg,route,NA,NA,"Meßtorffweg 8, 24534 Neumünster, Germany",ROOFTOP,54.0775913302915,9.992005130291503,54.0748933697085,9.989307169708498,54.07648,9.9910062,54.0760047,9.9903061,ChIJk-PRycVLskcReRqaLAlvaWQ,NA,NA,premise,NA,NA,NA,NA
4,results,Neumünster,NMS,locality,political,NA,"Meßtorffweg 8, 24534 Neumünster, Germany",ROOFTOP,54.0775913302915,9.992005130291503,54.0748933697085,9.989307169708498,54.07648,9.9910062,54.0760047,9.9903061,ChIJk-PRycVLskcReRqaLAlvaWQ,NA,NA,premise,NA,NA,NA,NA
4,results,Schleswig-Holstein,SH,administrative_area_level_1,political,NA,"Meßtorffweg 8, 24534 Neumünster, Germany",ROOFTOP,54.0775913302915,9.992005130291503,54.0748933697085,9.989307169708498,54.07648,9.9910062,54.0760047,9.9903061,ChIJk-PRycVLskcReRqaLAlvaWQ,NA,NA,premise,NA,NA,NA,NA
4,results,Germany,DE,country,political,NA,"Meßtorffweg 8, 24534 Neumünster, Germany",ROOFTOP,54.0775913302915,9.992005130291503,54.0748933697085,9.989307169708498,54.07648,9.9910062,54.0760047,9.9903061,ChIJk-PRycVLskcReRqaLAlvaWQ,NA,NA,premise,NA,NA,NA,NA
4,results,24534,24534,postal_code,NA,NA,"Meßtorffweg 8, 24534 Neumünster, Germany",ROOFTOP,54.0775913302915,9.992005130291503,54.0748933697085,9.989307169708498,54.07648,9.9910062,54.0760047,9.9903061,ChIJk-PRycVLskcReRqaLAlvaWQ,NA,NA,premise,NA,NA,NA,NA
5,results,50,50,street_number,NA,NA,"Esmarchstraße 50, 25746 Heide, Germany",ROOFTOP,54.2012656802915,9.0816711,54.1985677197085,9.0778672,54.2007685,9.0816711,54.1990649,9.0778672,ChIJ7Q14R7WOs0cR3YdXCTrx2gs,NA,NA,premise,NA,NA,NA,NA
5,results,Esmarchstraße,Esmarchstraße,route,NA,NA,"Esmarchstraße 50, 25746 Heide, Germany",ROOFTOP,54.2012656802915,9.0816711,54.1985677197085,9.0778672,54.2007685,9.0816711,54.1990649,9.0778672,ChIJ7Q14R7WOs0cR3YdXCTrx2gs,NA,NA,premise,NA,NA,NA,NA
5,results,Lohe-Rickelshof,Lohe-Rickelshof,political,sublocality,sublocality_level_1,"Esmarchstraße 50, 25746 Heide, Germany",ROOFTOP,54.2012656802915,9.0816711,54.1985677197085,9.0778672,54.2007685,9.0816711,54.1990649,9.0778672,ChIJ7Q14R7WOs0cR3YdXCTrx2gs,NA,NA,premise,NA,NA,NA,NA
5,results,Heide,Heide,locality,political,NA,"Esmarchstraße 50, 25746 Heide, Germany",ROOFTOP,54.2012656802915,9.0816711,54.1985677197085,9.0778672,54.2007685,9.0816711,54.1990649,9.0778672,ChIJ7Q14R7WOs0cR3YdXCTrx2gs,NA,NA,premise,NA,NA,NA,NA
5,results,Dithmarschen,Dithmarschen,administrative_area_level_3,political,NA,"Esmarchstraße 50, 25746 Heide, Germany",ROOFTOP,54.2012656802915,9.0816711,54.1985677197085,9.0778672,54.2007685,9.0816711,54.1990649,9.0778672,ChIJ7Q14R7WOs0cR3YdXCTrx2gs,NA,NA,premise,NA,NA,NA,NA
5,results,Schleswig-Holstein,SH,administrative_area_level_1,political,NA,"Esmarchstraße 50, 25746 Heide, Germany",ROOFTOP,54.2012656802915,9.0816711,54.1985677197085,9.0778672,54.2007685,9.0816711,54.1990649,9.0778672,ChIJ7Q14R7WOs0cR3YdXCTrx2gs,NA,NA,premise,NA,NA,NA,NA
5,results,Germany,DE,country,political,NA,"Esmarchstraße 50, 25746 Heide, Germany",ROOFTOP,54.2012656802915,9.0816711,54.1985677197085,9.0778672,54.2007685,9.0816711,54.1990649,9.0778672,ChIJ7Q14R7WOs0cR3YdXCTrx2gs,NA,NA,premise,NA,NA,NA,NA
5,results,25746,25746,postal_code,NA,NA,"Esmarchstraße 50, 25746 Heide, Germany",ROOFTOP,54.2012656802915,9.0816711,54.1985677197085,9.0778672,54.2007685,9.0816711,54.1990649,9.0778672,ChIJ7Q14R7WOs0cR3YdXCTrx2gs,NA,NA,premise,NA,NA,NA,NA
