authority_id,code,phone,fax,email,covid19hotline,covid19e_mail,covid19fax,aussteige_hotline,aussteige_e_mail,aussteige_fax
1,1.01.0.01.,0461 85-2602,0461 85-1960,amtsarzt@flensburg.de,0461 85-8585,corona@flensburg.de,,,,
2,1.01.0.02.,0431 901 2108,0431 901 621 08,infektionsschutz@kiel.de,,,,,Aussteigekarte@kiel.de,0431 901 - 74 13 37
3,1.01.0.03.,+49 451 122-5315,+49 451 122 5390,corona@luebeck.de,+49 451 122-2676,,+49 451 122-2799,,,
4,1.01.0.04.,04321 942-2810,04321 942-2800,Infektionsschutz@neumuenster.de,,,,,rueckkehrer@neumuenster.de,
5,1.01.0.51.,0481 9749000,0481 974931,fd-gesundheitsschutz@dithmarschen.de,,,,,,
6,1.01.0.54.,+49 4841 67 0,+49 4841 67 89 4431,infektionsmeldungen@nordfriesland.de,0800 200 66 22,,,,,
7,1.01.0.55.,04521 788-880,04521 788-139,ugs@kreis-oh.de,,,,,,
8,1.01.0.56.,+49 4121- 4502-5000,+49 4121 4502-93510,gesundheitsamt@kreis-pinneberg.de,+49 4121- 4502-0,,,,reiserueckkehrer@kreis-pinneberg.de,+49 4121 4502-93777
9,1.01.0.58.,04331 202-560,04331 202-604,gesundheitsamt@kreis-rd.de,,infektionsschutz@kreis-rd.de,,,,
10,1.01.0.59.,+49 4621 810-0,+49 4621 810-55,gesundheitsamt@schleswig-flensburg.de,04621 87-150,,04621 - 87 166,,,
11,1.01.0.61.,04821 69-390,04821 69-403,gesundheitsamt@steinburg.de,,,,,einreise@steinburg.de,
12,1.01.0.62.,+49 4531 160-1282,+49 4531 160-1626,gesundheitsamt@kreis-stormarn.de,,,,,,
13,1.02.0.01.,+49 40 428 11 2000,+49 40 – 427 902 055,Infektionsschutz@altona.hamburg.de,,,,,corona-einreise@altona.hamburg.de,
14,1.02.0.02.,+49 40 4 28 91-2220,+49 40 4 2891-3003,babergedorfgesundheitsamt@bergedorf.hamburg.de,,,,,corona-einreise@bergedorf.hamburg.de,
15,1.03.1.51.,05371 82-702,05371 82-358,gesundheitsamt@gifhorn.de,,,,,,
16,1.03.1.53.,05321 700-800,05321 700-880,gesundheitsamt@landkreis-goslar.de,,,,,,
17,1.03.1.54.,05351 121-1425,05351 121-1614,gesundheitsamt@landkreis-helmstedt.de,,,,,,
18,1.03.1.55.03.,05551 708-570,05551 708-555,gesundheitsamt@landkreis-northeim.de,,,,,,
19,1.03.1.57.,05171 4017001,05171 401-7731,gesundheit@landkreis-peine.de,,,,,,
20,1.03.1.58.,05331 84-503,05331 84-513,gesundheitsamt@lk-wf.de,,,,,,
21,1.03.2.52.,05151 903-5555,05151 903-5002,gesundheit@hameln-pyrmont.de,,,,,,
22,1.03.2.54.,05121 309-7541,05121 309-7809,gesundheit@landkreishildesheim.de,,,,,,
23,1.03.2.55.,+49 5531 707-372,+49 5531 7076673,gesundheitsschutz@landkreis-holzminden.de,,,,,,
24,1.03.2.56.,05021967 900,05021967 933,Infektionsschutz@kreis-ni.de,,,,,,
25,1.03.2.57.01.,+49 5721 703-2500,+49 5721 703-2558,gesundheitsamt@schaumburg.de,+49 5721 703 2570,corona@schaumburg.de,+49 5721 703 2585,,,
26,1.03.3.55.,+49 4131 26-1500,+49 4131 261703,gesundheitsamt@landkreis.lueneburg.de,,,,,,
27,1.03.3.56.,+49 47 91  930  2900,+49 47 91  930  2999,gesundheitsamt@landkreis-osterholz.de,,,,,,
28,1.03.3.57.,04261 983 3203,04261 983 3249,infektionsschutz@lk-row.de,,,,,,
29,1.03.3.58.,05162-970 9110,05162 - 970 9136,Gesundheitsamt@heidekreis.de,,,,,,
30,1.03.3.59.,04141 12-5300,04141 12 5313,gesundheitsamt@landkreis-stade.de,,,,,,
31,1.03.3.60.,0581 82-462,0581 82-474,info@gesundheitsamt-ue-dan.de,,,,,,
32,1.03.4.54.,05931 44-4063,05931 44 3733,landkreis@emsland.de,,,,,reiserueckkehrer@emsland.de,
33,1.03.4.55.,04461 919-0,04461 919-8820,gesundheit@friesland.de,,,,,,
34,1.03.4.56.,05921 96- 1853,05921 96-1877,gesundheitsamt@grafschaft.de,,,,,,
35,1.03.4.57.,0491 926-0,0491 926-1140,gesundheitsaufsicht@lkleer.de,,,,,,
36,1.03.4.58.,04431 85-500,04431 85-555,gesundheitsamt@oldenburg-kreis.de,,,,,,
37,1.03.4.59.,0541 501-0,0541 501-4730,gesundheit@lkos.de,,,,,,
38,1.06.5.35.,06641 977-170,06641 977-179,gesundheitsamt@vogelsbergkreis.de,,,,,,
39,1.06.6.11.,0561 787 1900,0561 787 1911,gesundheitsamt@kassel.de,,,,,,
40,1.06.6.31.,0661 6006-6076,0661 6006-6071,gesundheitsamt@landkreis-fulda.de,0661 6006-6009,Rufbereitschaft.Gesundheitsamt@landkreis-fulda.de,,,,
41,1.06.6.32.,06621 87-2400,06621 87-2425,gesundheitsamt@hef-rof.de,,,,,,
42,1.06.6.34.,05681 775-654,05681 775-653,gesundheitswesen@schwalm-eder-kreis.de,,,,,,
43,1.06.6.35.,05631 954-462,05631 954-490,amtsarzt@lkwafkb.de,,,,,,
44,1.06.6.36.,05651 302-25200,05651 302-25090,gesundheitswesen@werra-meissner-kreis.de,,,,,,
45,1.07.0.53.,02603 972-0,02603 972-6972,referat72@rhein-lahn.rlp.de,,,,,,
46,1.07.0.54.,0671 803-1709,0671 803-1750,post@kreis-badkreuznach.de,,,,,,
47,1.07.0.56.,02641 975-610,02641 975-699,infektionsschutz@kreis-ahrweiler.de,,,,,,
48,1.07.0.58.,06561 15-4630,06561 15-1010,gesundheitsamt@bitburg-pruem.de,,,,,,
49,1.07.0.59.,02671 61-374,02671 61-380,gesundheitsamt@cochem-zell.de,,,,,,
50,1.07.0.60.,06592 933-407,06592 933-400,gesundheitsamt@vulkaneifel.de,,,,,,
51,1.07.0.63.,07274 53-448,07274 53-350,kreisverwaltung@kreis-germersheim.de,07274 53-131,Coronavirus@kreis-germersheim.de,,,,
52,1.07.0.64.,06781 2008-11,06781 25102,Infektionsschutz@landkreis-birkenfeld.de,,,,,,
53,1.07.0.65.,0631 7105-520,0631 7105-495,infoga@kaiserslautern-kreis.de,,,,,,
54,1.07.0.66.,+49 6352 710-500,+49 6352 710-520,gesundheitsamt@donnersberg.de,,,,,,
55,1.07.0.67.,0261 914807-0,0261 914807-50,gesundheitsamt@kvmyk.de,,corona@kvmyk.de,,,,
56,1.07.0.68.,06381 424-0,06381 424-301,gesundheitsamt@kv-kus.de,,,,,,
57,1.07.0.69.,06341 940-606,06341 940-512,gesundheitsamt@suedliche-weinstrasse.de,,,,,,
58,1.07.0.70.,0621 5909-7340,0621 5909-7720,gesundheitsamt@kv-rpk.de,,,,,,
