community_zip,sqkm,population
01067,6.866862,11957
01069,5.351816,25491
01097,3.304476,14821
01099,58.500065,28018
01108,16.447222,5876
01109,24.738921,20010
01127,3.21649,15079
01129,7.412412,18915
01139,8.437161,17555
01156,31.752508,11317
01157,8.063003,20684
01159,5.920703,27666
01169,4.85608,19091
01187,5.085094,16423
01189,5.311302,9741
01217,5.876985,17501
01219,6.948872,20916
01237,4.271727,15536
01239,5.735141,15134
01257,8.276587,16277
01259,10.37215,18995
01277,4.868206,31798
01279,4.891571,21201
01307,3.666063,23815
01309,4.727433,32890
01324,4.629564,8874
01326,15.591166,10802
01328,41.238378,12342
01445,26.354677,33224
01454,68.134928,22281
01458,25.967269,9817
01465,12.552318,4104
01468,46.554448,8215
01471,54.182173,7592
01477,35.908611,4776
01558,44.099627,14551
01561,408.958156,20492
01587,7.476845,12390
01589,15.410295,10121
01591,16.636915,8795
01594,86.318869,6780
01609,85.671082,12490
01612,45.535858,8042
01616,30.425686,3888
01619,82.262393,6215
01623,66.981809,5408
01640,25.951985,20751
01662,30.875476,27076
01665,205.673808,16574
01683,123.028731,11035
01689,54.356689,13976
01705,40.44642,38322
01723,75.912715,11815
01728,25.767169,10419
01731,28.931382,4365
01734,30.766003,4390
01737,77.310263,7036
01738,6.285408,1113
01744,104.456828,14642
01762,28.336291,1147
01768,95.858566,6993
01773,89.944789,5504
01774,86.864448,7050
01776,20.044147,869
01778,56.162312,3065
01796,93.505459,41947
01809,60.734961,24151
01814,83.138947,6482
01816,88.911346,5796
01819,36.534744,2232
01824,112.335789,6474
01825,37.444999,1435
01829,10.864878,1666
01833,104.669711,10143
01844,83.287322,13336
01847,25.980058,3148
01848,64.807333,3513
01855,88.491123,10390
01877,116.941821,19908
01896,53.580943,11696
01900,41.044817,9736
01904,39.444172,8227
01906,31.936074,2775
01909,46.84407,4005
01917,98.877572,17848
01920,230.292574,18532
01936,253.456979,11707
01945,198.655876,11001
01968,117.292245,24423
01979,89.950672,16088
01983,81.171567,9382
01987,32.327707,5972
01990,21.19678,3403
01993,14.662106,2761
01994,23.877941,1986
01996,15.393483,1814
01998,17.590439,1415
02625,66.879159,40343
02627,198.836698,11881
02633,65.547876,4974
02681,41.499918,12222
02689,37.396038,7117
02692,39.165771,7042
02694,147.902294,9454
02699,105.244756,7163
02708,174.947925,26998
02727,5.562161,5758
02730,14.965093,7784
02733,26.665135,5014
02736,14.487236,3785
02739,17.231686,4453
02742,22.96861,3588
02747,74.225198,6369
02748,52.458321,3665
02763,80.121507,28718
02779,28.462806,6282
02782,19.169314,4069
02785,15.202529,5427
02788,41.271266,4183
02791,35.885901,5495
02794,17.090344,3860
02796,9.067776,1715
02797,18.355861,1515
02799,8.472193,1282
02826,6.105046,25379
02827,37.177123,17068
02828,25.348247,12016
02829,159.342919,9743
02894,98.310896,7146
02899,51.169221,4107
02906,251.186039,18024
02923,133.1978,5860
02929,72.828131,5110
02943,281.166711,23176
02953,36.478751,6032
02956,87.22105,2736
02957,144.749952,5015
02959,83.107754,4305
02977,95.65634,36125
02979,236.183448,5794
02991,43.065968,9144
02994,59.199697,6798
02997,61.347771,5892
02999,135.089647,5735
03042,20.862217,18419
03044,15.438712,17694
03046,8.03494,20626
03048,9.50058,14639
03050,6.198592,14076
03051,27.98022,6526
03052,31.457108,1505
03053,6.640242,694
03054,20.352107,2302
03055,19.08141,3613
03058,135.195909,5228
03096,126.774349,9426
03099,105.060595,9364
03103,56.414045,2035
03116,144.915588,5914
03119,39.643428,3942
03130,280.583734,27681
03149,187.185995,22297
03159,97.985979,5360
03172,271.384224,22755
03185,203.396228,9714
03197,69.972256,1455
03205,202.684852,9068
03222,139.822489,16525
03226,111.674939,8798
03229,103.021699,3606
03238,299.281683,24729
03246,44.645426,1395
03249,120.274736,3503
03253,208.897378,12064
04103,4.399479,13502
04105,4.864936,15890
04107,1.653765,11601
04109,2.492007,11607
04129,4.60832,11601
04155,2.213547,16245
04157,3.917217,22275
04158,28.909867,13979
04159,18.316986,21913
04177,2.954434,16855
04178,15.761673,14379
04179,7.487555,14550
04205,6.561739,14523
04207,8.679169,17812
04209,2.338433,18908
04229,5.885855,30475
04249,37.98048,14730
04275,2.720994,22189
04277,8.226047,21625
04279,5.891849,15023
04288,22.02373,11173
04289,6.179262,9279
04299,4.599415,14268
04315,1.974295,15780
04316,9.405256,7578
04317,2.131833,17627
04318,3.476424,14218
04319,17.562666,10874
04328,3.138122,4101
04329,4.502242,14607
04347,7.524999,19258
04349,13.96528,8168
04356,20.608906,2286
04357,5.094982,14336
04416,31.466047,23530
04420,58.524629,14800
04425,33.258882,14164
04435,82.315927,16951
04442,46.270833,8798
04451,15.808044,8212
04463,41.466681,5338
04509,311.117242,39116
04519,35.910229,4933
04523,60.419476,7826
04539,70.160783,7824
04552,61.574434,19802
04564,27.17239,6704
04565,26.763624,4164
04567,29.043986,5377
04571,46.43914,6095
04575,54.573364,7178
04600,45.713238,34093
04603,129.863736,10356
04610,53.700146,10968
04613,12.911547,4071
04617,87.040899,10908
04618,45.412721,2203
04626,163.758818,19057
04639,31.226587,5353
04643,54.750774,7556
04651,69.825136,8399
04654,145.659542,13477
04668,275.601121,34365
04680,84.388714,9253
04683,63.275418,11809
04687,35.276529,4085
04703,78.181257,8898
04720,154.642744,28919
04736,41.511853,9403
04741,44.147646,7964
04746,54.578278,7795
04749,52.865552,3967
04758,206.164974,21721
04769,79.204756,7997
04774,72.047904,4601
04779,105.374572,5509
04808,232.694835,27018
04821,25.722101,6352
04824,8.944811,3113
04827,24.887209,5967
04828,61.15306,5736
04838,274.686656,27928
04849,119.526508,10313
04860,90.326545,20638
04861,47.128605,2297
04862,114.582481,5193
04874,83.874688,4716
04880,147.166136,5580
04886,152.561759,6522
04889,75.610186,3579
04895,151.014003,8588
04910,41.378261,8611
04916,315.014916,13189
04924,172.598504,11917
04928,69.291661,3436
04931,82.476923,3956
04932,122.586016,9156
04934,34.408452,2218
04936,199.387187,5430
04938,41.291706,2403
06108,3.7136,17376
06110,4.230805,28584
06112,10.098621,11992
06114,3.135269,21950
06116,21.459882,11479
